Word,Total Occurrences,doc6.txt,doc5.txt,doc4.txt,doc1.txt,doc3.txt,doc2.txt
craft,1,,,,,,
risk,2,,,,,,"We measure the strength of our economy not by the number of billionaires we have or the profits of the Fortune 500, but by whether someone with a good idea can take a risk and start a new business, or whether the waitress who lives on tips can take a day off to look after a sick kid without losing her job - an economy that honors the dignity of work."
"program,",2,,,,,,
"alone,",1,,,,,,
"Onyango,",1,,,,,,
AmericansDemocrats,1,,,,,,
closed.,1,,,,,,
promotions,1,,,,,,
mutual,3,,,,,,
opening,2,,,,,,
finds,1,,,,,,
typical,1,,,,,,
communism.,1,,,,,,
"wait,",1,,,,,,
todays,1,,,,,,
"hardship,",1,,,"The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.",,,
everybody,1,,,,,,
root,2,,,,,,
"other,",2,,,,,,
twenty,2,,,,,,
divided,2,,,,,,
spite,1,,,,,,
front.,1,,,,,,
sisters,6,,,,,,
knew,5,,,,,,
"organizations,",1,,,,,,
down,13,,,,,,
University,3,,,,,,
"Sixties,",1,,,,,,
suggesting,1,,,,,,
"leadership,",2,,,,"What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.",,
ancient,1,,,"The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.",,,
develop,2,,,,,,
any,11,,,,,,
Additional,1,,,,,,
recruited,1,,,,,,
football,1,,,,,,
insistence,1,,,,,,
"Odhiombo,",1,,,,,,
scandal,1,,,,,,
"fail,",1,,,,,,
captives,1,,,,,,
