Word,Frequency,Document
good,2,doc6.txt
morning,2,doc6.txt
as,13,doc6.txt
some,8,doc6.txt
of,49,doc6.txt
you,2,doc6.txt
know,1,doc6.txt
senator,3,doc6.txt
lugar,4,doc6.txt
and,76,doc6.txt
i,10,doc6.txt
recently,1,doc6.txt
traveled,1,doc6.txt
to,77,doc6.txt
russia,6,doc6.txt
ukraine,4,doc6.txt
azerbaijan,1,doc6.txt
witness,1,doc6.txt
firsthand,1,doc6.txt
both,1,doc6.txt
the,106,doc6.txt
progress,6,doc6.txt
were,13,doc6.txt
making,3,doc6.txt
in,46,doc6.txt
securing,3,doc6.txt
worlds,1,doc6.txt
most,4,doc6.txt
dangerous,6,doc6.txt
weapons,20,doc6.txt
well,3,doc6.txt
serious,3,doc6.txt
challenges,2,doc6.txt
that,33,doc6.txt
lie,1,doc6.txt
ahead,3,doc6.txt
now,3,doc6.txt
few,4,doc6.txt
people,2,doc6.txt
understand,1,doc6.txt
these,19,doc6.txt
better,1,doc6.txt
than,2,doc6.txt
cofounder,1,doc6.txt
cooperative,6,doc6.txt
threat,16,doc6.txt
reduction,8,doc6.txt
program,10,doc6.txt
dick,3,doc6.txt
this,23,doc6.txt
is,23,doc6.txt
something,1,doc6.txt
became,1,doc6.txt
particularly,1,doc6.txt
clear,1,doc6.txt
me,2,doc6.txt
during,1,doc6.txt
one,8,doc6.txt
incident,1,doc6.txt
on,11,doc6.txt
trip,3,doc6.txt
we,38,doc6.txt
visiting,1,doc6.txt
a,34,doc6.txt
pathogen,2,doc6.txt
laboratory,1,doc6.txt
kiev,3,doc6.txt
city,1,doc6.txt
two,4,doc6.txt
half,1,doc6.txt
million,1,doc6.txt
nondescript,1,doc6.txt
building,2,doc6.txt
right,7,doc6.txt
middle,1,doc6.txt
town,1,doc6.txt
stood,2,doc6.txt
facility,2,doc6.txt
once,2,doc6.txt
operated,1,doc6.txt
fringes,1,doc6.txt
soviet,11,doc6.txt
biological,8,doc6.txt
entered,1,doc6.txt
through,2,doc6.txt
no,2,doc6.txt
fences,1,doc6.txt
or,5,doc6.txt
discernible,1,doc6.txt
security,6,doc6.txt
did,1,doc6.txt
found,2,doc6.txt
ourselves,3,doc6.txt
with,12,doc6.txt
open,1,doc6.txt
firstfloor,1,doc6.txt
windows,1,doc6.txt
padlocks,1,doc6.txt
many,3,doc6.txt
us,10,doc6.txt
would,4,doc6.txt
not,7,doc6.txt
use,3,doc6.txt
secure,3,doc6.txt
our,14,doc6.txt
own,2,doc6.txt
luggage,1,doc6.txt
